a1,a5,a7,costop,expshare,mwdays,wdays,employment,wages,output_value,year
102013,24103,3,3629251994,1,347,347,433012,188183658,3715064319,2019-20
105270,24202,6,1445603920,13,302,302,139703,138762640,1576324928,2019-20
108872,23941,8,9147909017,18,357,357,646767,1441424569,8576612953,2019-20
109043,24101,8,6267032802,27,355,355,596542,723279717,10208455287,2019-20
109053,24105,8,12106328442,7,355,355,528444,752729869,12472574695,2019-20
109068,24203,8,59725977643,24,366,366,624416,3599108340,73695890879,2019-20
112453,24202,9,58161328317,41,365,365,13260517,16433556672,62323803340,2019-20
112473,24209,9,204905871,100,294,294,71295,30099222,206588202,2019-20
112528,24105,9,4626831147,68,308,308,954700,718089502,2697271223,2019-20
118987,24101,19,3726134000,1,356,356,684638,345178000,3645668025,2019-20
118995,24102,19,3645606739,2,358,358,303305,212608823,3328077966,2019-20
119018,24105,19,4855159587,1,357,357,261011,184919643,4916363938,2019-20
119036,24107,19,602119810,26,293,293,132936,136493785,558703152,2019-20
119068,24203,19,4914072741,12,344,344,141243,89362852,4783289750,2019-20
120061,24103,20,311887191679,7,366,366,46511423,69756148035,357546285674,2019-20
120101,24104,20,1091749990,65,357,357,119444,38930590,1007901711,2019-20
120103,24104,20,3940104288,9,299,299,327922,139811942,3999344741,2019-20
120984,24202,21,1385859492,12,297,297,253178,131206755,1381393663,2019-20
126601,23941,24,5040305506,19,326,326,766863,1204096731,5927467721,2019-20
126679,24106,24,94599673,32,310,310,80719,49052606,98528249,2019-20
126685,24105,24,580398400,3,305,305,238620,120602606,558434710,2019-20
126696,24102,24,4474111001,5,298,298,367476,219555704,3943161498,2019-20
126697,24106,24,37900944692,22,308,308,1908742,2175077888,39071469472,2019-20
126699,24103,24,5679982635,40,358,358,636677,456313944,5338214478,2019-20
126790,24201,24,915234600,18,307,307,100518,85532612,934197827,2019-20
127291,24105,24,14069845025,7,169,215,226792,268905940,12603292097,2019-20
131487,20129,27,393248117,54,309,309,81158,86999176,372023901,2019-20
132386,24105,27,38991069594,9,306,306,1482540,1219743369,44348845710,2019-20
136345,24104,28,3017913613,92,358,358,686680,510636490,1607549244,2019-20
140958,24101,30,17045804510,16,365,365,1318500,1443080734,18262360472,2019-20
142455,24209,32,3603978485,8,352,352,301200,519415652,3892739130,2019-20
149105,24103,33,2763041320,3,294,294,155555,76137432,2722839419,2019-20
149179,24105,33,597795668,7,296,296,132898,123779231,474255983,2019-20
152464,24104,34,1264210334,23,292,292,248015,204766802,1454735980,2019-20
153761,24104,36,1922022812,16,296,296,128636,173971816,2055692088,2019-20
153768,24105,36,7423000000,3,298,298,1391862,1460372020,7742670991,2019-20
153795,24202,36,828166246,8,299,299,305877,178972761,866386300,2019-20
201244,24103,3,117859351,5,299,299,14608,7890648,127389504,2019-20
207838,24101,20,1005071151,1,357,357,77744,50372215,956442179,2019-20
210823,24106,24,266684908,73,307,307,53654,24973737,275646831,2019-20
211106,24106,24,251342090,1,291,291,98466,46278706,218411818,2019-20
211260,24103,24,143546643,40,302,302,117866,69251446,144875639,2019-20
213873,24201,27,631301407,53,299,299,92374,62941086,645802603,2019-20
215900,24104,28,2203888419,24,366,366,364891,220965848,2205297091,2019-20
102006,24103,3,1077905668,1,279,279,376843,321015524,2189022000,2020-21
102008,24105,3,1442061541,2,281,281,213532,164290724,4049131842,2020-21
102215,24201,3,472139731,2,301,301,218202,119680592,900403342,2020-21
105350,24105,6,65392695431,5,280,280,5882754,4396561923,129711443322,2020-21
105371,24103,6,951883210,25,268,268,175272,216200000,1919763038,2020-21
105434,24202,6,1690879611,17,305,305,150440,186181380,3785508084,2020-21
109205,23941,8,11903055732,1,338,338,1978557,2497582958,33845471352,2020-21
109339,24105,8,368014331,29,306,306,220447,152618782,613743988,2020-21
109375,24101,8,6279408614,8,327,327,624474,830741971,21913611926,2020-21
109401,24201,8,3160199838,65,255,306,2799714,3909398919,6214516030,2020-21
109402,24202,8,2202792444,10,308,308,479998,266189980,4657493886,2020-21
109405,24203,8,69067823373,27,365,365,528834,3181982096,187177114972,2020-21
109408,24201,8,9101321623,25,305,305,670441,630790325,18048542296,2020-21
109412,24201,8,180797561,3,303,303,34626,34658250,373034344,2020-21
109434,24203,8,19941655977,5,364,364,257830,1386683352,45015504032,2020-21
112850,24105,9,5331748395,8,302,308,918498,815821522,5603342128,2020-21
119519,24105,19,69959500000,15,365,365,12362327,36117800500,153469942746,2020-21
119532,24104,19,6896311860,14,327,327,1281109,763187561,14188263694,2020-21
119536,24102,19,26557800000,19,365,365,6730825,4214200000,63052921364,2020-21
119537,24101,19,4999377000,1,365,365,632188,360609000,9855458990,2020-21
119538,24101,19,14458203000,4,365,365,3195010,3821951790,35286601466,2020-21
119561,24102,19,946149110,20,365,365,78660,60856516,1709396228,2020-21
119571,24105,19,7808672000,1,334,365,1778786,1188379343,17780646090,2020-21
119574,24105,19,2007264812,4,284,284,255041,215062811,4242194984,2020-21
119576,24104,19,8241953821,14,335,335,1106473,466726200,17634558940,2020-21
119583,24103,19,13908822968,7,335,335,2760303,2131846937,28607782080,2020-21
119586,24103,19,1426736000,38,305,305,192866,235862000,2961757840,2020-21
119588,24107,19,515197758,46,262,262,151264,117294182,1026382242,2020-21
119590,24103,19,5137502164,35,357,357,207028,220724365,10626820600,2020-21
119613,24101,19,15709698184,20,365,365,1259066,648803482,38646550102,2020-21
119624,24203,19,5843148044,15,255,255,123560,80712690,11790405038,2020-21
119632,24202,19,623804228,25,229,307,157108,78253214,1166622170,2020-21
120621,24103,20,299628395778,10,365,365,45935626,71377912533,750054124974,2020-21
120637,24105,20,20761611027,21,365,365,2097297,4200315305,43377007420,2020-21
120656,24104,20,4383544779,13,365,365,320948,143806100,8975461636,2020-21
120658,24102,20,2609540880,5,343,343,598608,308883452,4719605674,2020-21
120667,24101,20,6571285098,10,365,365,721588,563612070,9543482302,2020-21
120670,24105,20,38797055776,10,365,365,6281271,5337243234,88224882348,2020-21
120688,24202,20,6599506657,5,303,303,1166381,1321289015,15414827074,2020-21
121436,24105,21,110016600000,7,365,365,39231925,53455131282,274227600392,2020-21
121448,24104,21,2733413821,72,365,365,665292,785416648,6364355078,2020-21
121471,24104,21,14292000000,92,365,365,3671543,3581996807,34072384170,2020-21
121477,24104,21,5222215594,8,365,365,1301835,686238665,14542732716,2020-21
121486,24105,21,104406299998,25,365,365,5709357,5978713196,217296899526,2020-21
121517,24102,21,19304712701,2,365,365,865257,1147766966,41426677190,2020-21
121533,24105,21,99941379029,22,365,365,10633725,13650164252,221388124962,2020-21
121535,24105,21,127868500000,15,365,365,10042290,7130438508,299269810778,2020-21
122230,24102,22,2930283679,80,309,309,495870,420627798,4464855984,2020-21
122232,24105,22,735709969,88,308,308,154912,57423191,1333566458,2020-21
122233,24101,22,119922234584,14,317,317,3653408,6550875833,253902557240,2020-21
122238,24105,22,14826711070,88,309,309,2178615,1120001830,26764476620,2020-21
122242,24105,22,5221612482,98,309,309,434742,160820756,10474651754,2020-21
122247,24105,22,3357337866,88,309,309,453714,167910175,6849406398,2020-21
122267,24104,22,1402104246,44,238,238,139971,163078570,1610670046,2020-21
122272,24103,22,2624643282,88,309,309,270132,203948738,5367417334,2020-21
122273,24105,22,4155671550,88,309,309,427704,274707439,8699270182,2020-21
122285,24102,22,4694101147,88,309,309,724680,424591618,9261188870,2020-21
122290,24105,22,790233866,88,309,309,166200,105911004,1578293412,2020-21
122296,24102,22,28622492732,88,309,309,8679360,6910628950,71447401152,2020-21
122299,24105,22,2010965530,88,309,309,200766,293883911,4306118588,2020-21
122305,24105,22,2540605474,88,309,309,679302,264479514,5150247272,2020-21
122314,24105,22,606692035,88,309,309,182406,52857032,1232408024,2020-21
122339,24102,22,908370017,88,309,309,166710,158256427,1887068638,2020-21
122344,24105,22,680364188,88,309,309,118326,46285360,1386867542,2020-21
122358,24202,22,476377390,82,309,309,91986,62736222,936797782,2020-21
123855,24201,23,24604651,2,243,243,3454,913080,44624214,2020-21
126284,20121,24,38996469089,5,365,365,2125990,8600882326,119216815478,2020-21
127276,23941,24,4068143000,8,317,317,738237,1245602157,11899855254,2020-21
127351,24105,24,272959000000,18,313,313,13303310,12804326326,592046569508,2020-21
127354,24105,24,2653423517,49,300,300,411264,375654990,5210146984,2020-21
127371,24102,24,3014636000,1,316,316,553223,354522865,5948144894,2020-21
127372,24106,24,16582204548,51,311,311,1717175,1703741346,42416045102,2020-21
127374,24103,24,6868318605,36,357,357,726410,524600536,13884419404,2020-21
127376,24103,24,7587123920,35,299,299,714419,696250401,16431545474,2020-21
127385,24106,24,143771565,50,298,298,142654,111639954,276214784,2020-21
127396,24106,24,3412296417,40,311,311,479521,407980432,6885567736,2020-21
127416,24103,24,107389886,10,253,253,102661,58409384,235242454,2020-21
127434,24105,24,4082508911,2,124,155,56994,163296174,7042730682,2020-21
127462,24201,24,1077010032,17,313,313,80790,80208728,2310346334,2020-21
127465,24202,24,2358887820,31,311,311,306012,275945452,4758132416,2020-21
130064,24202,25,816408684,17,290,290,130180,91505390,1644082234,2020-21
130066,24202,25,222567732,10,278,278,70680,48563262,456754600,2020-21
130067,24202,25,450018598,2,294,294,306992,133684259,1048317808,2020-21
